央视,#genre#
CCTV1,http://39.134.61.219/PLTV/88888888/224/3221226415/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226443/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226709/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226746/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226896/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226415/1.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226443/1.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226896/1.m3u8#http://39.135.129.167/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226675/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226190/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226675/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226721/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227001/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226675/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226721/1.m3u8
CCTV2,http://39.134.61.219/PLTV/88888888/224/3221226417/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226468/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226843/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226929/index.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226417/1.m3u8#http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226703/index.m3u8#http://39.135.129.165/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226711/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226178/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226703/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226711/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226178/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226703/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226711/1.m3u8
CCTV3,http://39.134.61.219/PLTV/88888888/224/3221226898/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.61.219/PLTV/88888888/224/3221226432/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226636/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226845/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226995/index.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226432/1.m3u8#http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226692/index.m3u8#http://39.135.129.165/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226899/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226176/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226692/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226899/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226176/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226692/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226899/1.m3u8
CCTV5,http://39.134.61.219/PLTV/88888888/224/3221226900/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226900/1.m3u8
CCTV5+,http://39.134.61.219/PLTV/88888888/224/3221226445/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226445/1.m3u8#http://39.135.129.165/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226745/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226198/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226745/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226745/1.m3u8
CCTV6,http://39.134.61.219/PLTV/88888888/224/3221226847/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227221/index.m3u8
CCTV7,http://39.134.61.219/PLTV/88888888/224/3221226925/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226175/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226175/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227466/index.m3u8
CCTV9,http://39.134.61.219/PLTV/88888888/224/3221226470/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226849/index.m3u8#http://39.134.61.219/PLTV/88888888/224/3221226976/index.m3u8#http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8#http://39.135.129.162/PLTV/88888888/224/3221226470/1.m3u8#http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226734/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226174/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226734/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226174/1.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226734/1.m3u8
